Lag;NordicBet;Nettavisen;UniBet;Oddschecker
Rosenborg;1;;1;1
Molde;2;;2;2
Brann;3;;4;3
Sarpsborg 08;3;;3;4
Vålerenga;5;;5;5
Strømsgodset;5;9;6;6
Haugesund;7;;7;7
Tromsø;9;11;8;8
Kristiansund BK;9;;8;9
Odd;8;8;10;10
Lillestrøm;9;10;10;11
Bodø/Glimt;13;15;10;12
Viking;12;14;13;13
Stabæk;13;13;13;14
Ranheim;13;12;13;15
Mjøndalen;16;16;16;16
;;;;
Kilde;https://www.nordicbet.com/no/odds#?cat=&reg=&sc=6054;https://www.nettavisen.no/sportspill/her-er-nettavisens-tabelltips-for-eliteserien-2019/3423620404.html;https://www.tk.no/sporten/fotball/eliteserien/plasserer-kbk-midt-pa-2019-tabellen/s/5-51-608359;https://www.oddschecker.com/football/norway/eliteserien/norwegian-eliteserien/winner
;Basert på odds for å vinne serien. Like plasseringer er plassert med høyeste nummer.;Oppdateres fram til 30. mars;;
